id,name
203,aanuolu college oluyoro alaadorin rd ibadan
204,omoladun comprehensive college ibadan
205,comfort standard secondary school e yidi area agodi ibadan
206,foundation college idiobi agugu ibadan
207,marvellous greatness college yidi agodi ibadan
208,saint patricks grammar school basorun ibadan
209,abadina college university of ibadan ibadan
210,saint louis grammar school mokola ibadan
211,anglican commercial grammar school oritamefa ibadan
212,islamic high school basorun ibadan
213,immanuel college high school ibadan
214,bishop onabanjo high school ibadan
215,saint gabriels secondary commercial school mokola ibadan
216,mount olivet grammar school bodija ibadan
217,methodist grammar school bodija ibadan
218,oba akinyele memorial high school basorun ibadan
219,basorunojoo high school ibadan
220,oba akinbiyi high school  mokola ibadan
221,ikolaba high school agodi gra ibadan
222,humani alaga high school sango ibadan
223,ikolaba grammar school agodi gra ibadan
224,oba akinbiyi high school  mokola ibadan
225,saint theresas seminary okeaare ibadan
226,community grammar school mokola ibadan
227,ijokodo high school ijokodo ibadan
228,united secondary school ijokodo ibadan
229,cheshire high school ibadan
230,poly high school ijokodo ibadan
231,the international school university of ibadan ibadan
232,bodija international college ibadan
233,reliance international high school ijokodo
234,walbrook college ibadan
235,lifeforte international high school ibadan
236,iseoluwa montessori high school ibadan
237,oritamefa baptist model school ibadan
238,lead city high school bodija ibadan
239,moret comprehensive college ibadan
240,all souls high school bodija ibadan
241,bishop akinyele grammar school okeare ibadan
242,ade royal comprehensive college okeitunu ibadan
243,marella international college kongibodija ibadan
244,nawairuddeen high school inalende ibadan
245,shiloh high school total garden ibadan
246,maverick college ibadan
247,starlite college eleyele road ijokodo ibadan
248,achiever high school bodija ibadan
249,cenfex high school mokola ibadan
250,ikolaba high senior school ii ikolaba
251,immanuel college senior school ii ui
252,samchris international model college ashi ibadan
253,gods blessing comprehensive college yemetu
254,city of faith comprehensive college ibadan
255,kolmor metropolitan college n bodija ibadan
256,christ the king college basorun ibadan
257,sedepo international college oke itunu
258,kings gate college ibadan
259,img grammar school yemetu aladorin
260,community high school senior agbowo bodija ibadan
261,command day secondary school letmauck barrack mokola
262,royal gems high school ashi ibadan
263,ikolaba international college ibadan
264,baptist high school agbowo ibadan
265,francis m college bodija ibadan
266,josabig high school okoro okeitun ibadan
267,ebenezer baptist high school okoro okeitunu ibadan
268,the apostolic church model college ijokodo ibadan
269,graceville college new bodija ibadan
270,anwarulislam grammar school ibadan
271,urban day secondary school jericho ibadan
272,eleyele high school eleyele ibadan
273,eleyele secondary school ibadan
274,oba abass alesinloye grammar school ibadan
275,jericho high school eleyele ibadan
276,onireke girls high school ibadan
277,all saints college ibadan
278,winfield high school ibadan
279,seed of life college onireke ibadan
280,shalom christian college idiisin ibadan
281,allahussamad model college ijokodo ibadan
282,olayomi highview international college arometa ibadan
283,army day high school letmauck mokola
284,beechford high school ibadan
285,ansaruddeen high school sango ibadan
286,andrew foster memorial college gra ibadan
287,st isabel comprehensive model college eleyele ibadan
288,fowebs college eleyele ibadan
289,army barracks grammar school letmauck barracks mokola ibadan
290,sacred heart secondary school ode ooloibadan
291,the crown college ibadan
292,glorious height college eleyele ibadan
293,government college apata ibadan
294,saint theresas college okeado ibadan
295,ibadan boys high school okebola ibadan
296,queens school apata ibadan
297,african church grammar school apata ibadan
298,apata grammar school apata ibadan
299,odoona girls grammar school ibadan
300,ibadan municipal government grammar school okeado ibadan
301,okebola comprehensive high school ibadan
302,oluyole estate grammar school ibadan
303,basorun ogunmola high school ring road ibadan
304,celestial church of christ high school okeado ibadan
305,oluyole extension high school ring road ibadan
306,oluyole high school ringroad ibadan
307,baptist secondary school liberty road ibadan
308,baptist grammar school idiisin ibadan
309,people girls grammar school molete ibadan
310,apata community grammar school ibadan
311,community grammar school ringroad ibadan
312,okeado high school ibadan
313,adifase high school ibadan
314,urban day grammar school ringroad ibadan
315,community grammar school elewura ibadan
316,our lady of apostles secondary commercial grammar school ibadan
317,ansaruddeen high school okeado ibadan
318,school of science okebola ibadan
319,atanda international high school oluyole estate ibadan
320,the vale college ibadan
321,united missionary comprehensive college molete ibadan
322,bambo academy ibadan
323,fola model college ibadan
324,sacred heart college akinyemi way ibadan
325,victory christian college ibadan
326,pislib de varsity international high school ibadan
327,christ ambassadors college ibadan
328,the immaculate model college ibadan
329,genius royal academy
330,grace private school secondary ibadan
331,omoniyi international college aba elesin apata ibadan
332,ecwa model college challenge ibadan
333,olapade agoro leaders high school apata ibadan
334,muslim model college okeado ibadan
335,kambridge comprehensive college ibadan
336,sunshine international high school ibadan
337,st catherines college alesinloye ibadan
338,baptist senior secondary school ii ibadan
339,foremost international secondary school adeoyo
340,st teresas college senior school ii ibadan
341,oluyole private international college ibadan
342,rhema chapel international college ibadan
343,concord college ring road ibadan
344,mighty miracle college okebola ibadan
345,bevy high school college crescent ibadan
346,rochas foundation college ntc rd ibadan
347,st james cathedral college okebola ibadan
348,stand hope international college okeado ibadan
349,apostolic faith secondary school okeado ibadan
350,the amazing grace high school anfani lout ibadan
351,atanda neighbourhood private secondary school ibadan
352,abbey standard college oke ado ibadan
353,praise academy akinyemi way ring road ibadan
354,igboora high school igboora
355,methodist grammar school igboora
356,lasogba high school idofin igboora
357,lajorun high school okeiserin
358,ogboja grammar school igboora
359,igboora grammar school igboora
360,aiyelogun grammar school idere ibadan
361,oyo state school of science idere
362,ansarudeen grammar school igboora
363,nawairuddeen grammar igoora
364,ingenious comprehensive academy igboora
365,okedere high school idere ibadan
366,kastad royal secondary school igbole igboora
367,adegoke college igboora
368,obaseeku high school eruwa
369,baptist grammar school eruwa
370,lanlate high school lanlate
371,eruwa high school eruwa
372,akolu grammar school eruwa
373,bioku grammar school lanlate
374,apode high school eruwa
375,muslim high school sango eruwa
376,baptist model high school eruwa
377,ifelodun comprehensive high school eruwa
378,onitabo high school itabo lanlate
379,goodness and mercy college lanlate
380,rockview model college lanlate
381,ayete grammar school ayete
382,igangan high school igangan
383,tapa community high school tapa
384,okeaako high school igangan
385,baptist high school ayete
386,maku grammar school tapa
387,maja academy senior secondary school igangan
388,muslim model college igangan oyo state
389,angels height college ayete
390,adegun asake grammar school igangan
391,united christian secondary school omiadio ibadan
392,akufo high school akufo
393,saint michaels african church grammar school owode
394,command secondary school bodeigbo ibadan
395,community high school awotan araromi
396,community high school ogundele alaho
397,community high school elenusonso
398,community high school ido
399,community high school batakeidiiya
400,christ national model college idi awun apata
401,community high school eleshinfunfun ibadan
402,prospect comprehensive college apata ibadan
403,brilliant stars college ibadan
404,bibiire international comprehensive college bembo apata ibadan
405,dway college apete ibadan
406,st micheals african church model snr grammar schl ii ibadan
407,st john senior secondary school omionigbagbo
408,taas college bodeigbo ibadan
409,funmilayo comprehensive college owode ibadan
410,royal people college lakoto apete ibadan
411,the gift high school apete ibadan
412,community high school ologuneru ibadan
413,apeteayegun community grammar school ariyibi ibadan
414,leo community high school apata ibadan
415,bakatari community high school abeokuta rd ibadan
416,elizabeth college apata ibadan
417,lariken college abysam estate ibadan
418,marks comprehensive high school gbopa ibadan
419,jesus glory college akuru elebuarea ibadan
420,marianne college ekerin ologuneru ibadan
421,omega international college bembo loguda apata
422,diadem college nnpc area apata ibadan
423,victory college jankata apata ibadan
424,kisi community grammar school kisi
425,lagbulu memorial high school kisi
426,iba high school kisi
427,olanipekun memorial college kisi
428,progressive islamic and arabic college kisi
429,muslim academy kisi
430,baptist heritage high school kisi
431,nybrosis college kisi ibadan
432,ansarudeen society high school kisi
433,iseyin district grammar school iseyin
434,progressive secondary grammar school adoawaye
435,bishop samuel ajayi crowther memorial high school osoogun
436,anwarulislam high school iseyin
437,muslim secondary grammar school iseyin
438,ekunle high school iseyin
439,baptist secondary grammar school koso iseyin
440,koso community grammar school iseyin
441,saint johns catholic grammar school iseyin
442,faramora grammar school iseyin
443,aseyin high school iseyin
444,kelani college iseyin
445,akinwumi methodist high school akinwumi
446,ansaruddeen grammar school iseyin
447,st thomas catholic college iseyin
448,blue crescent international college iseyin
449,st johns catholic senior grammar school il iseyin
450,iseyin district senior grammar school il iseyin
451,muslim high school iseyin
452,baptist high school iseyin
453,iladosagbo community grammar school iseyin
454,community grammar school ado awaye
455,ekunle grammar school iseyin
456,anwarulislam college iseyin
457,islamic girls high school iseyin
458,double major college iseyin
459,the pen model college amukoro iseyin
460,first baptist church model college iseyin
461,rehoboth college oremoje iseyin
462,okaka community grammar school okaka
463,ipapo community grammar school ipapo
464,komubabaode high school komu
465,baptist grammar school otu
466,igbojaye community high school igbojaye
467,okeamu community college okeamu
468,otu community grammar school otu
469,muslim grammar school otu
470,babaode community college babaode
471,first baptist college otu
472,iganna high school iganna
473,iwajowa community high school ijio
474,community grammar school idikoago
475,ilupeju community grammar school iwereile
476,community grammar school iganna
477,community high school elelokan
478,adeayo international college iganna
479,itile comprehensive high school itasa
480,st joseph catholic college iwereile
481,ansarudeen society high school iwereile
482,okeho iganna grammar school okeho
483,baptist high school ilero
484,awoyemi commercial high school okeho
485,ansaruddeen comprehensive high school ilero
486,community grammar school ilua
487,ansaruddeen society high school okeho
488,iwa community grammar school ayetorookeho
489,isemiile grammar school isemiile
490,baptist high school okeho
491,school of science okeho
492,ismog community grammar school okeho
493,gegun high school ayetorooke
494,ads gammar school okeho
495,onjo senior high school okeho
496,irepodun community high school ilero
497,muslim community high school ayetoro oke
498,victoria comprehensive college sawmill okeho
499,omolewu academy bucksman height okeho
500,okeogun ogbinte community grammar school okeho
501,igbo elerin grammar school ibadan
502,no idowu comprehensive high school olorundaabaa
503,estate high school basorun akobo ibadan
504,monatan high school ibadan
505,isabatudeen girls grammar school basorun ibadan
506,anglican grammar school oyedeji
507,community high school ejioku
508,community grammar school lalupon ibadan
509,lagun community grammar school lagun
510,anglican grammar school kutayi
511,community high school alegongo ibadan
512,abudoro community high school abudoroibadan
513,olosunde community high school olosunde
514,ofaadedokun community high school ofatedo
515,community grammar school apatere
516,airforce comprehensive school iyana offa
517,nickdel college ibadan
518,community high school ogunjana
519,alapataonireke community grammar school alapataonireke
520,graceland heights wofun ibadan
521,unique college ibadan
522,adetunjiolowode community high school lagelu
523,goodnews international high school ibadan
524,jnissi college okebadan estate akobo alegongo ibadan
525,de overcomers college akobo ojurin ibadan
526,adesina college ibadan
527,tl oyesina model secondary school senior ibadan
528,isabatudeen girls high school
529,atorise comprehensive college olorundaabaa
530,hope college ejioku ibadan
531,escas college ibadan
532,rosebud college alao akala way ibadan
533,baptist comprehensive high school ejioku ibadan
534,ifesowapo community high school kute
535,community high school ajara lagelu
536,valiants havilan international college ejioku ibadan
537,ogbomoso grammar school ogbomoso
538,federal government college ogbomoso
539,adeniran memorial grammar school ogbomoso
540,nurudeen grammar school ogbomoso
541,ogbomoso girls high school ogbomoso
542,anglican grammar school ogbomoso
543,orioke community high school orioke ogbomoso
544,soun high school ogbomoso
545,areago high school ogbomoso
546,the school of science ogbomoso
547,best legacy international high school ogbomoso
548,akhbaruddeen college ogbomoso
549,adebolu comprehensive college ogbomoso
550,victory model college ogbomoso
551,womens league secondary school ogbomoso
552,fasal college onipanu ogbomoso
553,ajogbe comprehensive college kuye
554,attaoheed international coll owoade ogbomoso
555,lautech international college ogbomoso
556,soun secondary school ogbomoso
557,anglican high school
558,nurudeen high school ogbomoso
559,millenium secondary model school ogbomoso
560,owode community grammar school ogbomoso
561,orioke community high school  ogbomoso
562,community grammar school orioke ogbomoso
563,great city senior secondary school obenite ogbomoso
564,anglican grammar school ii senior ogbomoso
565,kings international college ogbomoso
566,george green baptist college ogbomoso
567,ansaruddeen high school senior oke adun
568,reg comprehensive college igbo agbanni area ogbomoso
569,king of kings baptist collegekinnira ogbomoso
570,anglican model college ogbomoso
571,mergo baptist college ogbomoso
572,morenike comprehensive high school ogbomoso
573,premier baptist academy pakiotan estate ogbomoso
574,ogbomoso high school ogbomoso
575,christ apostolic church grammar school ogbomoso
576,ogbomoso baptist high school ogbomoso
577,methodist secondary grammar school ogbomoso
578,muslim comprehensive high school ogbomoso
579,the apostolic church grammar school ogbomoso
580,saint ferdinard grammar school osuuru ogbomoso
581,baptist secondary grammar school ogbomoso
582,molete community high school ogbomoso
583,caretaker community high school ogbomoso
584,laogun adeoye memorial high school ogbomoso
585,ayegun baptist church college ogbomoso
586,maryland catholic grammar school akataogbomoso
587,smith international baptist academy ogbomoso
588,royal international college odo alalubosa ogbomoso
589,gomal baptist college ogbomoso
590,wesley comprehensive high school arowomole ogbomoso
591,aitch american model collegeogbomoso
592,jesco college ogbomoso
593,jaf comprehensive college ogbomoso
594,the apostolic church senior grammar school ii ogbomoso
595,molete community senior high school ii
596,muslim grammar school saanuaje ogbomoso
597,ogbomoso senior high school ii ogbomoso
598,ogbomoso high school iii ogbomoso
599,baptist grammar school susun ogbomoso
600,emmanuel agboola grammar school kajola
601,baptist comprehensive high school okeonisuru
602,baptist secondary grammar schoo ii ogbomoso
603,bethel baptist college ijeru ogbomoso
604,divine favour college ogbomoso
605,olafunmi comprehensive college ogbomoso
606,amicable high school ogbomoso
607,gods time college odokoto ogbomoso
608,baptist grammar school ajaawa
609,obada community high school obada ogbomoso
610,idiaraba community high school idiaraba
611,community high school otamokun
612,community high school iwoate
613,lagbedu orile community high school lagbedu orile
614,community high school idewure
615,obandi community high school odooba
616,community high school ajaawa
617,united missionary church of africa sec grammar school igbeti
618,muslim community high school igbeti
619,ogunbode memorial grammar school igbeti
620,gbadamosi memorial royal academy igbeti
621,st marys catholic college igbeti
622,islamic senior grammar school igbeti
623,prospect high school abanla
624,abe secondary technical school ibadan
625,liberty secondary commercial academy ibadan
626,moslem grammar school odinjo ibadan
627,methodist high school express road ibadan
628,ifesowapo community secondary school onigambari
